               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088724,            0.035785,             0.05807,          7.9195e-05,            0.013403,          4.5604e-05,          9.1208e-06,            0.079132,            0.025984,            0.058261,            0.070265,           0.0033038,           0.0033038
                   1,            0.085386,            0.033616,            0.059533,          3.3028e-05,           0.0064103,          1.8324e-05,          3.6648e-06,            0.077768,            0.023556,            0.058457,            0.040252,            0.006624,            0.006624
                   2,            0.077276,            0.034521,            0.056557,          0.00018064,            0.015731,          0.00011167,          2.0774e-05,            0.073351,            0.022102,            0.057008,            0.010226,            0.009931,            0.009931
                   3,            0.070914,            0.029277,            0.054532,           0.0008222,             0.20342,           0.0013396,          0.00027741,            0.069967,            0.020792,            0.055813,           0.0099406,           0.0099406,           0.0099406
                   4,            0.072422,            0.030625,            0.054883,          0.00087075,             0.21763,           0.0009524,          0.00021268,            0.070221,            0.019654,             0.05487,           0.0099406,           0.0099406,           0.0099406
                   5,            0.067812,            0.031585,            0.052649,           0.0007544,             0.15749,          0.00058784,           0.0001664,            0.069931,            0.019185,            0.052998,           0.0099208,           0.0099208,           0.0099208
                   6,             0.06697,            0.032591,            0.052452,           0.0013507,             0.18255,           0.0030342,           0.0010771,            0.070469,            0.018909,            0.053227,            0.009901,            0.009901,            0.009901
                   7,            0.069678,            0.031493,            0.051846,           0.0019896,              0.1752,            0.001691,          0.00056878,            0.072106,            0.018691,            0.050818,           0.0098812,           0.0098812,           0.0098812
                   8,            0.063678,            0.030693,            0.047988,          0.00081986,             0.20611,           0.0014994,          0.00045743,            0.067957,            0.019557,            0.049626,           0.0098614,           0.0098614,           0.0098614
                   9,             0.06993,            0.030107,            0.049832,          0.00061742,             0.15809,          0.00091635,          0.00020663,            0.069613,            0.018753,            0.048163,           0.0098416,           0.0098416,           0.0098416
                  10,            0.069188,            0.029572,            0.049747,          0.00054153,             0.14305,          0.00071853,          0.00016853,             0.06923,            0.018989,            0.048011,           0.0098218,           0.0098218,           0.0098218
                  11,            0.065177,            0.032192,            0.047716,          0.00063172,             0.17854,           0.0006579,          0.00015814,            0.065785,            0.019652,            0.047333,            0.009802,            0.009802,            0.009802
                  12,            0.062242,            0.029967,            0.045733,           0.0011898,             0.25683,           0.0020485,           0.0006289,            0.066129,            0.020063,            0.046738,           0.0097822,           0.0097822,           0.0097822
                  13,            0.066598,            0.030907,            0.047032,          0.00082099,             0.19426,          0.00081253,          0.00023874,            0.067483,            0.019455,            0.045576,           0.0097624,           0.0097624,           0.0097624
                  14,            0.063902,            0.033657,            0.047941,          0.00070285,             0.16615,          0.00062858,          0.00014908,            0.066525,             0.01908,             0.04547,           0.0097426,           0.0097426,           0.0097426
                  15,            0.064081,            0.030915,            0.044705,            0.014597,              0.2988,            0.024414,            0.010464,            0.065079,            0.019112,            0.045035,           0.0097228,           0.0097228,           0.0097228
                  16,            0.065939,            0.030469,            0.047122,            0.026548,              0.2443,            0.028523,            0.010545,            0.067856,            0.019009,            0.044271,            0.009703,            0.009703,            0.009703
                  17,            0.058227,            0.031762,            0.042291,           0.0088521,             0.40337,            0.062235,              0.0172,            0.061307,            0.020252,            0.043422,           0.0096832,           0.0096832,           0.0096832
                  18,            0.063876,            0.035875,            0.047788,           0.0073823,             0.35135,            0.070365,            0.022755,            0.061703,            0.020274,            0.042891,           0.0096634,           0.0096634,           0.0096634
                  19,            0.061098,            0.030288,              0.0447,           0.0039785,             0.41554,             0.10978,            0.038392,            0.059731,            0.020154,            0.041748,           0.0096436,           0.0096436,           0.0096436
                  20,             0.06007,             0.02813,            0.043776,           0.0031675,             0.42496,            0.067729,            0.024769,            0.058909,            0.020098,            0.041528,           0.0096238,           0.0096238,           0.0096238
                  21,            0.064807,            0.034617,            0.045778,            0.003995,             0.45326,              0.0572,            0.020471,            0.060992,            0.019412,             0.04094,            0.009604,            0.009604,            0.009604
                  22,            0.057686,            0.029316,            0.040378,             0.95323,            0.059914,            0.084248,            0.025692,            0.062877,            0.018165,            0.039262,           0.0095842,           0.0095842,           0.0095842
                  23,             0.06052,            0.030449,            0.042235,             0.89306,            0.051478,            0.045686,            0.010452,            0.062219,            0.018647,            0.039308,           0.0095644,           0.0095644,           0.0095644
                  24,             0.05895,            0.027285,            0.040799,             0.91751,             0.08029,            0.076236,            0.029256,            0.063484,            0.017858,            0.039278,           0.0095446,           0.0095446,           0.0095446
                  25,            0.061348,            0.030353,            0.040782,             0.92689,            0.098518,            0.092224,            0.033415,            0.068279,            0.017689,            0.038764,           0.0095248,           0.0095248,           0.0095248
                  26,            0.062519,            0.034356,            0.041812,             0.89328,            0.091686,            0.066758,            0.022132,            0.058993,            0.019215,            0.038559,            0.009505,            0.009505,            0.009505
                  27,            0.056125,            0.030204,            0.040304,             0.93672,            0.097113,             0.09091,            0.029414,            0.055868,            0.018742,            0.037013,           0.0094852,           0.0094852,           0.0094852
